"period","value","country","var"
2009-01-01,90.2018932540048,"France","world_demand"
2009-04-01,88.2678169905045,"France","world_demand"
2009-07-01,91.2939306972975,"France","world_demand"
2009-10-01,92.7456326201282,"France","world_demand"
2010-01-01,95.8710964253324,"France","world_demand"
2010-04-01,100.058319675811,"France","world_demand"
2010-07-01,101.145697282265,"France","world_demand"
2010-10-01,102.924886616591,"France","world_demand"
2011-01-01,103.970741867436,"France","world_demand"
2011-04-01,104.415379449579,"France","world_demand"
2011-07-01,104.988915868638,"France","world_demand"
2011-10-01,104.047780446518,"France","world_demand"
2012-01-01,104.199722069308,"France","world_demand"
2012-04-01,104.028908359725,"France","world_demand"
2012-07-01,104.323243192087,"France","world_demand"
2012-10-01,103.341212075888,"France","world_demand"
2013-01-01,104.042944315327,"France","world_demand"
2013-04-01,106.252274765889,"France","world_demand"
2013-07-01,107.227165185556,"France","world_demand"
2013-10-01,108.067543041031,"France","world_demand"
2014-01-01,108.901753937067,"France","world_demand"
2014-04-01,109.720472080381,"France","world_demand"
2014-07-01,111.346055143724,"France","world_demand"
2014-10-01,112.944509639975,"France","world_demand"
2015-01-01,114.841911337531,"France","world_demand"
2015-04-01,116.348624298093,"France","world_demand"
2015-07-01,116.16815360641,"France","world_demand"
2015-10-01,117.827557257393,"France","world_demand"
2016-01-01,118.572441167265,"France","world_demand"
2016-04-01,119.875781261443,"France","world_demand"
2016-07-01,121.188931079403,"France","world_demand"
2016-10-01,122.905906955655,"France","world_demand"
2017-01-01,124.577639974474,"France","world_demand"
2017-04-01,126.340868923665,"France","world_demand"
2017-07-01,127.579813721817,"France","world_demand"
2017-10-01,129.311878781387,"France","world_demand"
2018-01-01,129.851710965151,"France","world_demand"
2018-04-01,130.55048113582,"France","world_demand"
2018-07-01,131.540417000317,"France","world_demand"
2018-10-01,132.379193172004,"France","world_demand"
2019-01-01,133.307034343882,"France","world_demand"
2019-04-01,132.408805522498,"France","world_demand"
2019-07-01,133.035732166198,"France","world_demand"
2019-10-01,131.334814334133,"France","world_demand"
2020-01-01,128.244108462115,"France","world_demand"
2020-04-01,108.582369052443,"France","world_demand"
2020-07-01,122.412561225937,"France","world_demand"
2020-10-01,128.532051037534,"France","world_demand"
2021-01-01,130.873688974741,"France","world_demand"
2021-04-01,133.368947043012,"France","world_demand"
2021-07-01,135.088165731713,"France","world_demand"
2021-10-01,139.640233624649,"France","world_demand"
2022-01-01,142.060058036689,"France","world_demand"
2022-04-01,143.283599246092,"France","world_demand"
2022-07-01,145.024866420871,"France","world_demand"
2022-10-01,144.132565863095,"France","world_demand"
2023-01-01,144.163894037671,"France","world_demand"
2023-04-01,143.08848972365,"France","world_demand"
2023-07-01,140.858379716585,"France","world_demand"
2023-10-01,141.504827121883,"France","world_demand"
1980-01-01,24.8834172321624,"Germany","world_demand"
1980-04-01,23.9634745265629,"Germany","world_demand"
1980-07-01,23.6798874669065,"Germany","world_demand"
1980-10-01,23.1476625313652,"Germany","world_demand"
1981-01-01,23.1393105321519,"Germany","world_demand"
1981-04-01,23.3667741235577,"Germany","world_demand"
1981-07-01,24.0759173475344,"Germany","world_demand"
1981-10-01,24.1046100563025,"Germany","world_demand"
1982-01-01,24.1623501376552,"Germany","world_demand"
1982-04-01,24.1217386601342,"Germany","world_demand"
1982-07-01,24.002037666853,"Germany","world_demand"
1982-10-01,23.6663247092332,"Germany","world_demand"
1983-01-01,23.8366892134157,"Germany","world_demand"
1983-04-01,24.2134839027571,"Germany","world_demand"
1983-07-01,24.6442956993994,"Germany","world_demand"
1983-10-01,25.3604347939637,"Germany","world_demand"
1984-01-01,25.9540546792871,"Germany","world_demand"
1984-04-01,26.3876927137693,"Germany","world_demand"
1984-07-01,26.8042411841579,"Germany","world_demand"
1984-10-01,27.1868351710119,"Germany","world_demand"
1985-01-01,27.6714085200994,"Germany","world_demand"
1985-04-01,27.7326116882845,"Germany","world_demand"
1985-07-01,27.9161003796441,"Germany","world_demand"
1985-10-01,28.4915090599189,"Germany","world_demand"
1986-01-01,28.5728270864081,"Germany","world_demand"
1986-04-01,29.6082830756219,"Germany","world_demand"
1986-07-01,30.1982650271105,"Germany","world_demand"
1986-10-01,30.1876759707844,"Germany","world_demand"
1987-01-01,30.2799748622678,"Germany","world_demand"
1987-04-01,30.9806704371942,"Germany","world_demand"
1987-07-01,31.9101161672552,"Germany","world_demand"
1987-10-01,32.9315538887123,"Germany","world_demand"
1988-01-01,32.6419547571001,"Germany","world_demand"
1988-04-01,33.2258590605977,"Germany","world_demand"
1988-07-01,34.3841874551937,"Germany","world_demand"
1988-10-01,35.4170233782298,"Germany","world_demand"
1989-01-01,35.9404827418486,"Germany","world_demand"
1989-04-01,36.4780475129195,"Germany","world_demand"
1989-07-01,36.8067033845306,"Germany","world_demand"
1989-10-01,37.4241674501205,"Germany","world_demand"
1990-01-01,38.0328576693092,"Germany","world_demand"
1990-04-01,38.7954844206042,"Germany","world_demand"
1990-07-01,38.298628059405,"Germany","world_demand"
1990-10-01,38.5506804755776,"Germany","world_demand"
1991-01-01,38.5769634605598,"Germany","world_demand"
1991-04-01,38.9674934334227,"Germany","world_demand"
1991-07-01,39.2073289047599,"Germany","world_demand"
1991-10-01,39.3784980537662,"Germany","world_demand"
1992-01-01,40.2954770951603,"Germany","world_demand"
1992-04-01,40.6757072780272,"Germany","world_demand"
1992-07-01,40.4099104688535,"Germany","world_demand"
1992-10-01,40.0543819105957,"Germany","world_demand"
1993-01-01,39.5148188938853,"Germany","world_demand"
1993-04-01,39.0612438885788,"Germany","world_demand"
1993-07-01,39.4240496891326,"Germany","world_demand"
1993-10-01,40.2243729306544,"Germany","world_demand"
1994-01-01,41.1052105606126,"Germany","world_demand"
1994-04-01,42.2761613960177,"Germany","world_demand"
1994-07-01,43.0229344669287,"Germany","world_demand"
1994-10-01,44.5824424234984,"Germany","world_demand"
1995-01-01,45.0897668987647,"Germany","world_demand"
1995-04-01,46.2620068318597,"Germany","world_demand"
1995-07-01,46.4491903475153,"Germany","world_demand"
1995-10-01,47.0954190852344,"Germany","world_demand"
1996-01-01,47.7665814473979,"Germany","world_demand"
1996-04-01,47.9328391227061,"Germany","world_demand"
1996-07-01,48.7511585391274,"Germany","world_demand"
1996-10-01,49.6194357764927,"Germany","world_demand"
1997-01-01,51.1615564670984,"Germany","world_demand"
1997-04-01,52.8443297134489,"Germany","world_demand"
1997-07-01,54.0848845988867,"Germany","world_demand"
1997-10-01,55.3924264182624,"Germany","world_demand"
1998-01-01,57.0695455102705,"Germany","world_demand"
1998-04-01,57.6847234028122,"Germany","world_demand"
1998-07-01,58.1932104217975,"Germany","world_demand"
1998-10-01,59.124583202648,"Germany","world_demand"
1999-01-01,59.9041002176509,"Germany","world_demand"
1999-04-01,61.0676278029167,"Germany","world_demand"
1999-07-01,62.684794533322,"Germany","world_demand"
1999-10-01,64.6036616659645,"Germany","world_demand"
2000-01-01,66.749248521038,"Germany","world_demand"
2000-04-01,68.675481334551,"Germany","world_demand"
2000-07-01,70.5967226705918,"Germany","world_demand"
