"period","conso_d","conso_nd","conso_s","gdp","defgdp","inves","definves","loans_nfc","loans_hh","houseprice","hours","wage","longrate","pop","shortrate","riskrate","networth"
2015-10-01,1278273,2671659,8796523,18892206,97.581,3315334,98.84,12947.447,14129.596,127.8059,97.627,95.844,2.19,204721.657672333,0.16,5.42,90.53
2016-01-01,1295286,2696651,8850083,19001690,97.496,3301090,98.28,13211.957,14138.74,129.3531,98.032,95.855,1.92,205123.191312034,0.36,5.31,85.94
2016-04-01,1306272,2720377,8878617,19062709,98.159,3287033,98.763,13362.578,14272.145,130.8118,98.351,96.187,1.75333333333333,205406.220119882,0.373333333333333,4.67,92.31
2016-07-01,1339752,2729065,8925001,19197938,98.41,3301079,98.803,13553.137,14446.767,132.632,98.634,96.62,1.56333333333333,205707.660474815,0.396666666666667,4.26,97.08
2016-10-01,1360770,2733555,8965956,19304352,98.886,3391749,99.092,13601.175,14549.39,134.7092,98.758,97.664,2.13,205872.788932303,0.45,4.64,99.07
2017-01-01,1371708,2759465,9029319,19398343,99.39,3382703,99.421,13869.607,14605.719,136.5098,99.147,98.646,2.44333333333333,205371.596988911,0.7,4.66,106.16
2017-04-01,1389176,2785806,9050547,19506949,99.65,3435929,99.914,14109.639,14760.319,138.4549,99.867,99.229,2.26333333333333,205488.94264371,0.95,4.5,109.68
2017-07-01,1424942,2801812,9088439,19660766,100.162,3493166,100.2,14273.554,14907.243,140.575,99.977,100.511,2.24333333333333,205731.524261354,1.15333333333333,4.33,113.2
2017-10-01,1477817,2838132,9145340,19882352,100.778,3558859,100.438,14564.775,15103.148,142.8119,100.768,101.848,2.37,205780.742712302,1.20333333333333,4.27,120.14
2018-01-01,1496922,2858865,9203368,20044077,101.419,3612936,100.905,14741.844,15150.625,145.0409,101.286,102.519,2.76,206286.127170047,1.44666666666667,4.47,126.43
2018-04-01,1505562,2860773,9265572,20150476,102.136,3612389,101.393,15189.789,15278.476,146.697,101.659,103.032,2.92,206407.406587197,1.73666666666667,4.78,126.19
2018-07-01,1516435,2869965,9308554,20276154,102.577,3722248,101.785,15337.414,15446.653,148.136,102.166,104.053,2.92666666666667,206680.132754208,1.92333333333333,4.81,133.75
2018-10-01,1518940,2889741,9329102,20304874,103.019,3724752,102.075,15547.957,15575.854,149.4262,102.517,104.414,3.03333333333333,206682.339536485,2.22,5.14,126.18
2019-01-01,1506964,2910885,9335566,20415150,103.375,3751760,102.623,15810.449,15593.131,150.5465,102.423,106.853,2.65333333333333,206246.911895495,2.40333333333333,4.97,128.24
2019-04-01,1545174,2946123,9373995,20584528,103.888,3778211,103.088,15962.553,15786.593,152.0182,102.449,107.022,2.33333333333333,206389.904130876,2.39666666666667,4.6,136.11
2019-07-01,1580550,2975223,9451465,20817581,104.211,3818108,103.175,16129.823,15975.223,153.8232,102.951,107.132,1.79666666666667,206364.119137681,2.19,4.02,139.8
2019-10-01,1602878,2974850,9519376,20951088,104.541,3773236,102.968,16210.568,16156.764,156.1023,102.823,108.83,1.79333333333333,206224.235679687,1.64333333333333,3.91,146.13
2020-01-01,1531655,3019001,9313629,20665553,105.037,3676574,103.568,17054.486,16205.462,158.316,101.187,111.521,1.37666666666667,205557.809576747,1.26,3.89,145.13
2020-04-01,1530924,2919840,8240039,19034830,104.614,3145228,103.467,17722.08,16200.113,159.5488,87.394,117.932,0.686666666666667,206440.904727611,0.06,3.91,139.18
2020-07-01,1822095,3122792,8884373,20511785,105.538,3735091,104.18,17691.978,16445.375,164.7902,94.718,116.11,0.65,205730.216690056,0.0933333333333333,3.31,159.41
2020-10-01,1847538,3136650,9032209,20724128,106.275,3853093,104.855,17752.451,16702.093,170.9616,96.796,119.027,0.863333333333334,206099.789153741,0.09,3.3,173.61
2021-01-01,1966717,3212888,9144903,20990541,107.668,3820417,105.514,18030.917,16869.896,176.3954,97.95,118.897,1.31666666666667,205128.52191387,0.08,3.47,192.69
2021-04-01,2033642,3325906,9429576,21309544,109.305,3767341,106.528,18287.546,17589.338,184.8982,99.482,120.938,1.59333333333333,205518.427731644,0.07,3.55,207.92
2021-07-01,1904300,3335044,9641146,21483083,110.92,3910829,108.074,18474.044,17938.694,193.0023,100.918,122.61,1.32333333333333,205368.067197888,0.09,3.24,219.37
2021-10-01,1954960,3356282,9717932,21847602,112.848,4159127,110.457,18800.147,18325.314,200.7094,102.385,124.396,1.53666666666667,205341.746924705,0.08,3.31,228.3
2022-01-01,1962318,3333398,9733034,21738871,115.135,4222449,112.891,19318.946,18512.385,210.1778,103.322,124.75,1.94,206960.690156276,0.12,3.95,219.73
2022-04-01,1957770,3333376,9810837,21708160,117.671,4105540,115.431,19634.79,18862.134,216.4828,103.98,125.205,2.93,207154.076932636,0.77,5.02,201.74
2022-07-01,1962321,3319708,9878196,21851134,118.962,4024750,117.389,19786.777,19176.712,214.7504,104.599,127.365,3.10666666666667,207466.390147543,2.19,5.35,196.7
2022-10-01,1957466,3323708,9922253,21989981,120.093,4058491,118.176,20010.589,19392.751,214.8339,104.932,127.205,3.83,207560.855610276,3.65333333333333,5.97,190.87
2023-01-01,2022529,3327795,9998921,22112329,121.261,3963689,119.228,20269.911,19418.153,217.3875,105.611,129.233,3.64666666666667,208284.704371269,4.51666666666667,5.6,199.23
2023-04-01,2020872,3335446,10023101,22225350,121.766,4014121,119.087,20334.738,19580.091,219.9983,105.202,131.194,3.59333333333333,208486.827929841,4.99,5.68,208.6
