"period","conso_d","conso_nd","conso_s","gdp","defgdp","inves","definves","loans_nfc","loans_hh","houseprice","hours","wage","longrate","pop","shortrate","riskrate","networth"
1999-10-01,618148.957291462,2001126.76976608,6414903.41939678,13827980,71.595,2367988,82.479,6054.832,6687.927,72.4576,94.364,58.999,6.14,176058.541199309,5.30666666666667,8.24,40.97
1999-07-01,610800.338341927,1961179.2118844,6331111.60657026,13604771,71.2,2306470,82.105,5941.049,6517.459,70.9293,93.967,57.839,5.88333333333333,175579.939735285,5.09333333333333,8.1,39.43
1999-04-01,596554.115075493,1951972.68096716,6263323.51787729,13426748,70.949,2244682,82.343,5752.106,6357.201,69.5636,93.367,57.337,5.54,175017.980480957,4.74666666666667,7.74,39.05
1999-01-01,569381.148526786,1933857.17796155,6197745.91358735,13315597,70.682,2243548,82.595,5633.516,6202.354,68.1877,92.856,57.101,4.98333333333333,174520.73376497,4.73333333333333,7.4,36.85
1998-10-01,568107.198883703,1898765.48615067,6141706.78356543,13191670,70.453,2183382,82.302,5455.268,6116.429,67.1764,92.985,56.108,4.67,173719.199576407,4.86,7.25,32.62
1998-07-01,536426.386361173,1873075.78514163,6108384.33360812,12982752,70.255,2118989,82.191,5323.51,5969.883,65.9268,91.854,55.794,5.20333333333333,173270.736695682,5.53333333333333,7.13,31.93
1998-04-01,521557.99924,1859736.88926001,6035767.22678377,12821339,69.959,2065336,82.106,5212.855,5854.457,64.7818,91.726,54.91,5.59666666666667,172715.166080764,5.5,7.25,33.28
1998-01-01,496467.459778007,1837190.4572775,5958341.48321239,12703742,69.794,2078205,82.394,5040.254,5716.262,63.9287,91.258,54.222,5.58666666666667,172266.655739896,5.52,7.25,30.78
1997-10-01,492454.044000658,1824107.11467133,5890317.69801197,12577495,69.695,1990860,82.604,4884.651,5661.212,62.6712,90.689,53.323,5.90666666666667,171833.260375738,5.50666666666667,7.44,28.78
1997-07-01,480205.27503671,1811557.22974932,5825854.67142325,12471010,69.464,1962053,82.834,4789.249,5566.763,61.7448,90.259,52.376,6.24333333333333,171349.83765066,5.53333333333333,7.76,27.82
1997-04-01,459672.990386341,1782841.59283874,5756596.30654103,12317221,69.162,1935157,82.175,4684.248,5447.73,60.9926,89.725,51.857,6.69666666666667,170908.295518556,5.52333333333333,8.19,24.31
1997-01-01,461179.185456859,1781951.28464962,5712827.47024533,12115472,69.025,1823255,83.499,4589.591,5353.306,60.3878,89.293,51.387,6.56333333333333,170470.202854291,5.27666666666667,8.07,23.39
1996-10-01,448999.551129437,1771417.12096336,5662538.52220846,12037775,68.615,1787190,82.819,4502.592,5313.287,59.8941,88.541,50.806,6.34333333333333,169614.635543342,5.28,7.92,21.78
1996-07-01,440443.25948855,1757097.08189228,5630439.04412997,11914063,68.251,1789565,82.386,4467.167,5214.123,59.5202,87.544,50.515,6.78,169029.182748883,5.30666666666667,8.29,19.91
1996-04-01,437306.692977635,1744584.11513717,5599890.52888861,11808140,68.028,1711813,82.859,4418.053,5117.643,59.1891,86.818,50.132,6.72,168638.966983945,5.24333333333333,8.3,20.03
1996-01-01,423866.063781621,1722614.02523085,5568146.18621103,11614418,67.747,1633332,82.981,4339.412,5019.196,58.7716,86.014,49.667,5.91,168103.153394842,5.36333333333333,7.71,18.99
1995-10-01,419327.671140469,1711595.51045955,5513816.31244814,11528067,67.423,1607513,83.056,4279.33,4950.231,58.2779,85.844,49.135,5.89333333333333,167779.891024048,5.72,7.64,17.82
1995-07-01,412198.260245015,1702725.74724753,5483900.54560675,11450310,67.1,1568555,83.086,4219.612,4857.362,57.9875,85.626,48.741,6.32333333333333,167333.112354894,5.79666666666667,8.05,16.88
1995-04-01,400862.751889845,1696817.81173039,5443525.52605607,11353721,66.771,1577960,82.638,4186.279,4745.66,57.4633,84.653,48.478,6.62,166982.174735665,6.02,8.23,15.39
1995-01-01,396856.064375365,1688438.20843634,5390411.60900625,11319951,66.452,1611428,82.386,4106.62,4655.471,57.1024,84.775,48.081,7.48333333333333,166549.749764244,5.81,8.88,14.1
1994-10-01,405215.514010629,1682579.84629185,5353325.49447318,11279932,66.093,1594684,81.995,4026.853,4627.257,56.9035,84.372,47.799,7.83666666666667,166298.953032089,5.16666666666667,9.21,13.47
1994-07-01,391471.898758107,1664963.07222112,5321678.83414615,11152176,65.737,1531670,81.724,3977.3,4507.679,56.6552,84.017,47.43,7.33333333333333,166035.659554896,4.48666666666667,8.84,13.43
1994-04-01,387373.150035625,1650705.1952391,5286351.66274784,11087361,65.362,1557107,81.237,3940.425,4419.381,56.3887,83.042,47.444,7.08333333333333,165696.224377995,3.94,8.6,13.11
1994-01-01,383225.492075427,1637757.48824618,5248705.51143757,10939116,65.048,1484116,80.969,3889.084,4334.775,56.062,81.717,47.051,6.06666666666667,165218.526902643,3.21333333333333,7.85,13.63
1993-10-01,374287.193291383,1615981.85091126,5206275.2633007,10833987,64.738,1429661,80.658,3814.137,4303.289,55.8848,81.208,47.324,5.60666666666667,164865.421795473,2.99,7.55,13.36
1993-07-01,365474.260602838,1604863.87099557,5172973.88524857,10688606,64.387,1358287,80.679,3784.652,4211.174,55.3817,80.443,46.982,5.61666666666667,164360.545787416,3.06,7.62,12.94
1993-04-01,361474.548161745,1589204.79010906,5113916.29927285,10637847,64.007,1367575,80.031,3762.53,4126.251,54.9925,79.965,46.966,5.99,163966.380288158,3,8.14,12.5
1993-01-01,350133.077222586,1576739.47647618,5088661.61985433,10576275,63.628,1359751,79.708,3720.831,4059.933,54.7253,79.071,46.617,6.28,163523.313349325,3.04,8.4,12.36
1992-10-01,346800.13175566,1575166.66706115,5069756.04865446,10558648,63.273,1328433,79.64,3688.421,4053.865,54.5656,78.376,46.964,6.74333333333333,163395.053012295,3.03666666666667,8.87,11.63
1992-07-01,340034.073824104,1559422.62352409,5014273.16373757,10449673,62.841,1289101,79.448,3696.49,3981.933,54.4037,77.875,46.712,6.61666666666667,162762.891583761,3.25666666666667,8.7,11.25
1992-04-01,332939.417037294,1550203.95783229,4961773.23771671,10347429,62.535,1278935,79.213,3708.352,3915.316,54.4843,77.744,46.187,7.37666666666667,162377.547490402,3.77,9.13,11.04
1992-01-01,330648.788742381,1543684.71204353,4924047.63928778,10236435,62.161,1210478,79.045,3709.404,3872.382,54.5888,77.442,45.761,7.30333333333333,161993.671166454,4.02333333333333,9.2,11.19
1991-10-01,318194.228848143,1521001.9020437,4844858.98720819,10115329,61.931,1233261,79.366,3696.383,3853.2,54.4639,77.901,44.599,7.34666666666667,161832.633311307,4.81666666666667,9.4,10.3
1991-07-01,323499.293332798,1534212.35411476,4816218.17191332,10080195,61.566,1191028,79.551,3738.161,3771.517,54.6041,78.034,44.011,7.94,161368.927898669,5.64333333333333,9.68,10.07
1991-04-01,318595.780865486,1531539.16748892,4795963.99188987,10029510,61.088,1167904,79.334,3775.756,3731.411,54.7928,78.124,43.491,8.13,161077.933972903,5.86333333333333,9.92,9.8
1991-01-01,317022.420286433,1522485.33733024,4749168.50385186,9951916,60.643,1167908,79.164,3769.351,3668.111,54.3979,78.618,42.672,8.01666666666666,160710.486228943,6.42666666666667,10.2,8.96
1990-10-01,326028.523775846,1521725.0447899,4752737.07381134,9998704,60.055,1208107,78.425,3783.346,3644.394,54.8074,79.395,42.425,8.39666666666667,160481.480669049,7.74333333333333,10.6,7.88
1990-07-01,335290.476362585,1537334.52342636,4764693.73953814,10090569,59.611,1279695,78.205,3774.016,3580.998,55.076,79.737,42.106,8.70333333333333,160005.130393655,8.16,10.42,8.41
1990-04-01,338729.803030507,1534655.89678354,4727320.70731624,10083855,59.105,1304993,77.757,3753.739,3520.061,55.2074,80.146,41.559,8.67666666666666,159633.907844173,8.24333333333333,10.31,8.76
1990-01-01,350328.566025948,1533125.06605386,4671121.82819407,10047386,58.45,1304586,77.483,3713.275,3449.737,55.1522,80.495,40.765,8.42333333333334,159381.468539582,8.25,10.1,8.44
1989-10-01,336128.277231201,1535047.48370573,4646915.32362135,9938767,57.826,1291758,77.089,3653.103,3383.95,54.3964,80.26,39.996,7.90666666666667,157785.829138001,8.61333333333333,9.81,8.67
1989-07-01,346650.621639739,1517885.08292562,4603789.10093767,9919228,57.417,1301412,76.568,3594.302,3305.312,53.7328,80.257,39.43,8.10666666666667,157335.830371306,9.08333333333333,9.89,8.57
1989-04-01,338951.572320751,1502713.57801153,4574341.46062496,9846293,57.001,1313202,76.229,3562.277,3225.251,53.0162,80.073,39.079,8.77333333333333,156975.228993762,9.72666666666667,10.37,7.84
1989-01-01,334524.168687631,1500467.92255544,4556224.90091804,9771725,56.4,1326029,75.827,3484.833,3141.1,52.2292,79.764,38.92,9.20666666666666,156818.336455046,9.44333333333333,10.64,7.2
1988-10-01,336046.694754764,1493790.76738816,4524878.00372905,9673405,55.818,1282499,75.068,3414.461,3100.556,51.1314,78.973,38.811,8.95666666666667,156512.599783354,8.47,10.51,6.74
1988-07-01,327540.258982327,1478505.1483787,4487213.56506407,9546206,55.34,1263222,74.572,3329.899,3027.059,49.8651,78.096,38.522,9.1,156158.564429585,7.98333333333333,11.07,6.55
1988-04-01,331854.823876908,1468333.01028466,4421278.71973528,9490594,54.686,1256243,74.39,3273.484,2946.903,48.5198,77.887,38.051,8.91,155822.200678475,7.15666666666667,10.98,6.39
1988-01-01,331689.103563625,1456815.78380471,4382359.03295122,9367502,54.159,1227008,74.048,3189.275,2861.897,47.3312,76.807,37.597,8.41666666666666,155505.859125997,6.66333333333333,10.75,6.15
1987-10-01,316712.203428844,1441217.45547018,4323067.09084887,9319332,53.738,1288881,73.433,3116.408,2817.489,46.603,76.736,36.953,9.12333333333333,155159.07316508,6.91666666666667,11.38,5.97
1987-07-01,325527.584280584,1439421.54238034,4280885.78284084,9162024,53.313,1206662,72.636,3039.443,2764.686,45.6751,75.952,36.519,8.87666666666667,154816.267071632,6.84333333333333,10.91,7.45
1987-04-01,312597.834325684,1438343.99586675,4243201.94873131,9083256,52.912,1206486,72.49,2987.413,2687.323,44.7022,75.426,36.15,8.34333333333334,154512.092224263,6.65,10.36,6.87
1987-01-01,300309.409952357,1427407.90802254,4201799.90601988,8986367,52.548,1205858,72.247,2925.984,2594.993,43.7198,74.997,35.888,7.19333333333333,154031.968315216,6.22,9.66,6.57
1986-10-01,319248.231521508,1425629.20312494,4135195.68370179,8920193,52.214,1174171,71.716,2864.682,2592.292,42.3222,74.074,35.73,7.26333333333333,153706.581838374,6.26666666666667,10.09,5.71
1986-07-01,324397.718071888,1414104.4946596,4089940.53058875,8872601,51.931,1170667,71.398,2776.198,2505.5,41.6738,73.52,35.259,7.30666666666667,153282.466573673,6.20666666666667,10.18,5.67
1986-04-01,298922.547860734,1411290.34241674,4055896.44937134,8788524,51.719,1203028,71.09,2714.429,2418.96,40.7125,73.151,34.824,7.60333333333333,152906.687302942,6.92,10.27,5.67
1986-01-01,288721.196033301,1398867.01840347,4031919.65636905,8749127,51.524,1224404,70.521,2634.044,2353.403,39.9458,73.349,34.425,8.55666666666667,152452.480228897,7.82666666666667,11.02,5.13
1985-10-01,282957.58981681,1381250.65133085,4014963.77446229,8668188,51.269,1224763,70.18,2571.99,2329.784,39.1552,73.455,33.941,9.76,151776.228885921,8.10333333333333,11.98,4.53
1985-07-01,293066.652340553,1369091.76108036,3983471.43125718,8604220,50.984,1181226,69.602,2487.572,2216.808,38.4008,73.089,33.312,10.3366666666667,151381.752188301,7.9,12.47,4.33
1985-04-01,275419.31712842,1358024.09820269,3930507.16161191,8474787,50.678,1189334,69.538,2443.2,2125.961,38.0741,72.884,32.827,10.8133333333333,151060.724899725,7.92333333333333,13.02,4.19
1985-01-01,272145.103706163,1347372.10645785,3894968.07934673,8400820,50.354,1169416,69.254,2373.153,2051.338,37.2515,72.39,32.518,11.5833333333333,150670.735230464,8.47666666666667,13.39,3.96
1984-10-01,263029.446289034,1339080.19205884,3826069.30463761,8320199,49.861,1202383,69.174,2320.616,1977.678,36.8158,71.816,32.112,11.7433333333333,150504.728161792,9.26666666666667,13.61,3.63
1984-07-01,254776.74679359,1328898.83165209,3784197.19858833,8252465,49.491,1218184,68.861,2226.6,1911.347,36.5508,71.351,31.856,12.8666666666667,150112.684810477,11.39,14.71,3.49
1984-04-01,254713.092385926,1327904.02209784,3737430.11662826,8173670,49.055,1192381,68.677,2158.862,1855.999,36.0201,71.043,31.398,13.2,149724.16512495,10.5566666666667,14.7,3.36
