"period","world_demand","foreign_rate","oil_prices","reer","exports","imports"
1980-01-01,54.0323959214923,15.0466666666667,33.5764457972372,104.623333333333,NA,NA
1980-04-01,52.6291683245275,12.6866666666667,37.0121751346289,101.356666666667,NA,NA
1980-07-01,52.5796646856618,9.83666666666667,35.450479981269,101.58,NA,NA
1980-10-01,51.9774753278238,15.8533333333333,34.0449543432452,96.6,NA,NA
1981-01-01,52.3515012592114,16.57,35.606649496605,91.87,NA,NA
1981-04-01,52.6389484660722,17.78,34.9819714352611,87.8466666666667,NA,NA
1981-07-01,54.5034562278963,17.5766666666667,33.7326153125732,86.3566666666667,NA,NA
1981-10-01,54.6173974041803,13.5866666666667,33.1079372512293,89.8033333333333,NA,NA
1982-01-01,54.4307132585233,14.2266666666667,29.3255115897916,88.92,NA,NA
1982-04-01,54.3088999021399,14.5133333333333,32.6238117536877,89.0766666666667,NA,NA
1982-07-01,53.9973920818991,11.0066666666667,32.4020510419106,88.0133333333333,NA,NA
1982-10-01,53.8232892226019,9.28666666666667,31.7180285647389,89.9633333333333,NA,NA
1983-01-01,53.821939170737,8.65333333333333,27.7856801685788,92.9833333333333,NA,NA
1983-04-01,53.8334139639204,8.80333333333333,28.6133785998595,90.4,NA,NA
1983-07-01,54.2016620915426,9.46,29.5722594240225,88,NA,NA
1983-10-01,55.0614860777752,9.43,27.9512198548349,87.2666666666667,NA,NA
1984-01-01,55.4087420565497,9.68666666666667,28.2966668227582,87.65,NA,NA
1984-04-01,55.7778096338987,10.5566666666667,28.4556473893702,87.95,NA,NA
1984-07-01,56.2962915051184,11.39,27.2712577850621,86.1233333333333,NA,NA
1984-10-01,56.3497228468195,9.26666666666667,25.7030035120581,84.5666666666667,NA,NA
1985-01-01,56.9918139627722,8.47666666666667,25.3463123390307,83.9133333333333,NA,NA
1985-04-01,56.9773659201636,7.92333333333333,26.1024851322875,85.2766666666667,NA,NA
1985-07-01,57.3085699472214,7.9,26.0406420042145,87.97,NA,NA
1985-10-01,57.9099348596815,8.10333333333333,27.3543399672208,91.1166666666667,NA,NA
1986-01-01,58.2397867334488,7.82666666666667,15.930852259424,95.8633333333333,NA,NA
1986-04-01,59.3460997090805,6.92,13.0432779208616,95.7033333333333,NA,NA
1986-07-01,59.036269615287,6.20666666666667,12.9870568953407,98.5733333333333,NA,NA
1986-10-01,59.1033388741652,6.26666666666667,14.4097611800515,102.01,NA,NA
1987-01-01,58.3177276759947,6.22,17.0808845703582,105.77,NA,NA
1987-04-01,59.1449386867249,6.65,18.1443989697963,103.72,NA,NA
1987-07-01,59.2993914465153,6.84333333333333,19.0966666666667,102.746666666667,NA,NA
1987-10-01,60.636606175409,6.91666666666667,17.8866666666667,104.76,NA,NA
1988-01-01,60.341811648826,6.66333333333333,15.7533333333333,104.24,NA,NA
1988-04-01,60.2479403972597,7.15666666666667,16.1266666666667,101.383333333333,NA,NA
1988-07-01,61.4259688283645,7.98333333333333,14.3166666666667,97.5233333333333,NA,NA
1988-10-01,62.1889701825914,8.47,13.5666666666667,98.5766666666667,NA,NA
1989-01-01,62.4711817125558,9.44333333333333,17.59,97.05,NA,NA
1989-04-01,63.1482743517545,9.72666666666667,18.8333333333333,95.9466666666667,NA,NA
1989-07-01,63.4503668110727,9.08333333333333,17.3633333333333,96.94,NA,NA
1989-10-01,63.7911243824936,8.61333333333333,19.1766666666667,100.806666666667,NA,NA
1990-01-01,63.9608378124441,8.25,19.7996411483333,105.313333333333,NA,NA
1990-04-01,65.0930119752332,8.24333333333333,16.0315789473667,105.693333333333,NA,NA
1990-07-01,63.7170515177895,8.16,26.4945574162667,105.86,NA,NA
1990-10-01,64.09487278177,7.74333333333333,32.5066051299667,106.96,NA,NA
1991-01-01,63.7995178588013,6.42666666666667,20.7602252791,106.1,NA,NA
1991-04-01,63.6842694667849,5.86333333333333,18.8377777778,98.9333333333333,NA,NA
1991-07-01,63.7775069837405,5.64333333333333,19.9018362193333,99.13,NA,NA
1991-10-01,63.7139362243193,4.81666666666667,20.6051912238333,101.746666666667,NA,NA
1992-01-01,63.9733765431121,4.02333333333333,17.9303787878667,102.743333333333,NA,NA
1992-04-01,64.4963759697528,3.77,19.9945773525,103.053333333333,NA,NA
1992-07-01,64.2871262869209,3.25666666666667,20.0793725296667,107.746666666667,NA,NA
1992-10-01,63.6796526084953,3.03666666666667,19.2031166932333,105.406666666667,NA,NA
1993-01-01,63.8531753839836,3.04,18.2031521739,103.553333333333,NA,NA
1993-04-01,63.9037525427948,3,18.2656503189667,101.7,NA,NA
1993-07-01,63.9798339399137,3.06,16.4850468975333,98.2866666666667,NA,NA
1993-10-01,64.5636895307128,2.99,15.1632066909667,98.2,NA,NA
1994-01-01,64.9835628301593,3.21333333333333,13.9649673913,96.9233333333333,NA,NA
1994-04-01,66.1785321170581,3.94,16.0469429824667,98.54,NA,NA
1994-07-01,66.1785167284309,4.48666666666667,16.7713780664,101.423333333333,NA,NA
1994-10-01,67.4487435174571,5.16666666666667,16.5262748917667,101.383333333333,NA,NA
1995-01-01,67.7556355304239,5.81,16.875226363,103.543333333333,NA,NA
1995-04-01,68.2895378260031,6.02,18.0829810005,104.186666666667,NA,NA
1995-07-01,68.2325291052788,5.79666666666667,16.2127020202333,105.186666666667,NA,NA
1995-10-01,68.7416846400273,5.72,16.954669059,106.396666666667,NA,NA
1996-01-01,69.32162071373,5.36333333333333,18.5710137085,105.806666666667,NA,NA
1996-04-01,69.5964039349045,5.24333333333333,19.4935198412667,103.676666666667,NA,NA
1996-07-01,69.7553106991435,5.30666666666667,20.8882056590333,104.616666666667,NA,NA
