"period","loans_nfc","loans_hh","lendingrate","longrate","networth","houseprice"
1980-01-01,1164.13126333182,651.418009471983,14.499545245109,12.0299635472498,NA,22.4893994356092
1980-04-01,1212.08299443934,674.34751896627,15.1522013277715,12.251999953753,NA,22.7901741457453
1980-07-01,1238.21610200786,687.409704025949,14.1617045381812,12.1854765887288,NA,23.3916193113521
1980-10-01,1296.45176193889,722.675649245427,14.5329048226831,12.7720184510592,NA,24.293839187095
1981-01-01,1322.78736322391,737.017917560933,15.2090978418406,13.2947333037231,NA,25.4967295183085
1981-04-01,1356.20658599892,755.213705026992,17.4637593186151,14.4490519870385,NA,26.3778899516087
1981-07-01,1389.0852819713,770.41864830497,17.733937048202,15.1479751547755,NA,26.9374247416609
1981-10-01,1448.97730758299,795.196194196844,16.8266924168958,15.0278928196758,NA,27.1751253791342
1982-01-01,1465.98083781174,802.69528743124,16.2089133966558,14.7099915280383,NA,27.0912003733597
1982-04-01,1503.46761348441,823.760716817924,16.3314615615548,14.4428732539126,NA,27.1792955657566
1982-07-01,1535.14579587984,844.532646596163,15.5245055014412,14.1962015121118,NA,27.4395152109905
1982-10-01,1602.11198080554,877.260823581578,14.4991182008048,13.6074906259143,NA,27.8716507997303
1983-01-01,1613.62153510827,885.714087607801,13.8691064346963,12.9311432157663,NA,28.4759108413072
1983-04-01,1649.86640018409,909.926022918218,13.8281708342824,12.8729377587828,NA,28.9405738857012
1983-07-01,1673.32549997243,932.293782551281,14.1351221614674,13.0644585863854,NA,29.2657441875781
1983-10-01,1747.46637983187,965.191880362638,14.1156706655806,13.0207597202194,NA,29.4513174922721
1984-01-01,1762.70521424112,973.597614087898,13.7044264476223,12.5442012974608,NA,29.4972937997834
1984-04-01,1810.06340500068,997.743006976967,13.1981619152508,12.4429437016111,NA,29.5764230909423
1984-07-01,1847.96769918828,1017.3742095321,12.6785565458362,12.1476778654672,NA,29.6888096204143
1984-10-01,1907.02587054209,1049.14346269559,12.4700339286254,11.3608097346059,NA,29.8342448788684
1985-01-01,1897.7399275937,1068.49542473257,12.1637377685984,10.8923005793174,NA,30.0129373756356
1985-04-01,1923.86026437527,1091.97182863559,11.8873082426846,10.7894908379481,NA,30.2120637868522
1985-07-01,1933.54953257463,1106.82623594397,11.2443349188086,10.615242604076,NA,30.4317283671839
1985-10-01,1997.71136509546,1150.61471396341,10.6969106809499,10.2385587757106,NA,30.6720353712962
1986-01-01,1995.73495308848,1153.45583770346,11.0507884204584,9.71717220142402,NA,30.9327762898579
1986-04-01,2022.94935396727,1183.14564019983,10.1435959305864,8.5548888226701,NA,31.3245653230266
1986-07-01,2029.56341497445,1200.61777883373,9.62284152358639,8.36139298939041,NA,31.8472982161367
1986-10-01,2073.40285904296,1233.51468838757,9.59938308309376,8.43032416990007,98.5800001,32.5011834785194
1987-01-01,2100.37715720636,1243.4841690145,9.93504287589681,8.42860686017779,95.59921875,33.2860126008435
1987-04-01,2133.88981896913,1269.63177583162,10.1139015471151,8.64524558114014,97.0421538461538,34.07782678576
1987-07-01,2146.81988244025,1293.07253200892,10.1140147704732,9.42448133489849,101.781363636364,34.8765217786034
1987-10-01,2198.88787129183,1335.76424833365,9.88988448844959,9.56502612176444,79.8022727272728,35.6822018340391
1988-01-01,2228.25728274914,1347.4626436581,9.04507306068933,8.94091636807021,74.2021538461538,36.4947626974018
1988-04-01,2284.59980959785,1381.89121716046,8.90440688132961,8.83821408292921,78.948,37.4113697169918
1988-07-01,2335.63050740807,1404.35760216802,9.50510361018742,8.98863389818082,84.525,38.4322314021403
1988-10-01,2445.56561621248,1456.4520002807,10.0238829254425,8.93547788896129,90.1476923076923,39.5572434981816
1989-01-01,2463.09784552389,1465.75962146673,11.1381474904978,9.35689634213752,95.0933846153847,40.7864060051159
1989-04-01,2542.19808836673,1504.63108985158,11.4018170933424,9.57868699226671,100.791384615385,42.0191131706791
1989-07-01,2576.11644092447,1520.33510128967,11.6710247414715,9.55642166378165,111.043384615385,43.2554692495369
1989-10-01,2683.37493669969,1564.93991222814,12.3967433494469,10.0359042889005,112.020923076923,44.4953699870237
1990-01-01,2736.24957605322,1592.54788754235,12.6688851272397,10.7541198294735,117.051692307692,45.7389196378051
1990-04-01,2800.78516452509,1621.99053247372,12.0968618129783,10.7378521504704,120.233846153846,46.9191867065924
1990-07-01,2851.43264420829,1649.42145741683,11.9970930894437,10.8317768537053,108.336461538462,48.0360669387202
1990-10-01,2993.73549148239,1710.45868165565,12.465793150873,10.9224380714888,93.7368181818182,49.0895603341885
1991-01-01,3058.95128984133,1708.85669870947,12.5870471985755,10.4997371083288,96.70203125,50.0798754023283
1991-04-01,3141.82813961072,1745.46569923439,11.8941310739538,10.0012496552811,106.932769230769,50.9705230101942
1991-07-01,3213.52215385234,1775.92616765217,11.9593727158795,10.0917218297,104.108787878788,51.7615031577863
1991-10-01,3313.75513575038,1838.32861310667,12.1466672038035,9.84435958213607,100.662272727273,52.4530243544355
1992-01-01,3386.64350510262,1855.09408097233,12.3256990726844,9.53162414917653,106.345538461538,53.0449823454765
1992-04-01,3464.10777384951,1894.89836455522,12.4850731706623,9.62735172913028,108.425230769231,53.5483238707928
1992-07-01,3518.32959672028,1923.05245508639,13.6051466326388,10.0014884468995,97.2971212121212,53.9631531850499
1992-10-01,3621.98738134717,1966.59252816844,13.047017121885,9.96244601729209,96.5260606060606,54.2894702882479
1993-01-01,3681.68403519761,1998.20564285239,12.3476617309985,9.3697602456134,106.35328125,54.5271709257212
1993-04-01,3749.41093352411,2026.69185179923,10.7279763078375,8.9473229481987,110.712461538462,54.7951054162064
1993-07-01,3779.37742985957,2054.30543588921,9.80425109938144,7.93768910143314,122.309242424242,55.0929609957069
1993-10-01,3815.15427389305,2120.3850617107,9.05737465598672,7.27232312083601,130.703787878788,55.4210504282194
1994-01-01,3769.25706393992,2137.43706311144,8.53826970374952,6.93822280278577,138.42796875,55.7791652044127
1994-04-01,3775.4820596578,2178.06404525341,7.96145797968792,7.8204255023955,136.038307692308,56.08108671587
1994-07-01,3783.21055010415,2205.98912602737,8.00765307482503,8.68604511907286,131.977272727273,56.3270234719224
1994-10-01,3852.67939214764,2267.71213969033,8.1828830200391,9.09397980553045,127.305538461538,56.5167669632388
1995-01-01,3768.04899273705,2275.10991459629,8.69124009869734,9.27307451429085,124.775846153846,56.6504214444848
1995-04-01,3834.71447653945,2324.28080578458,8.99805109855125,8.88503813440099,128.996923076923,56.8241097173052
1995-07-01,3845.66202833075,2347.74616574155,8.55092483319749,8.47046902081236,135.114153846154,57.0378317817
1995-10-01,3866.70567910924,2396.40476970044,8.38966513384513,8.11228159322173,133.261538461539,57.2915876376693
1996-01-01,3889.4902185207,2422.42613903293,7.50520920197479,7.604849404135,144.697846153846,57.5853772852131
1996-04-01,3935.27664465173,2464.15801185188,6.98342048494029,7.49872045927005,152.002615384615,58.0991463911428
1996-07-01,3942.58626674214,2500.14293365454,6.79575580310671,7.24002953934348,149.376060606061,58.4781509137326
1996-10-01,3997.07291570192,2561.37536717409,6.32865982924437,6.44074026446544,160.294090909091,58.5696170505488
1997-01-01,4054.46104571664,2594.8878518823,6.16179687171152,6.17209969377246,183.6990625,58.2922782653009
1997-04-01,4103.67754999662,2656.73893735261,6.01511439373198,6.18868277670483,199.27,59.1981841088262
1997-07-01,4132.5467589513,2700.14225579292,5.99603683159508,5.78074709528217,225.562727272727,59.6079871744378
1997-10-01,4185.45816746925,2738.79497846395,6.09016976109799,5.57180442918763,221.086515151515,59.4192934857542
1998-01-01,4260.83653510864,2768.99930326704,5.84645585944979,5.09090497379968,254.36875,59.2944397861565
1998-04-01,4309.44636607713,2837.50143988519,5.66163451167495,4.96487573243684,302.654153846154,60.249292428181
1998-07-01,4358.36428157946,2884.5363538119,5.54478741117496,4.53704074948136,295.358636363636,61.0792742146032
1998-10-01,4433.46621720561,2957.49604053844,5.22294168945784,4.12578884945825,268.968484848485,60.9259125794081
1999-01-01,4435.071,3031.184,4.67176666666666,3.97845207378669,305.18609375,61.5435374302005
1999-04-01,4557.961,3118.595,4.2151,4.23676794262258,318.405692307692,62.5259373894925
1999-07-01,4647.358,3182.979,4.28043333333333,5.02525989131269,323.575454545454,63.7325232964776
1999-10-01,4828.758,3255.865,5.01083333333333,5.29075848268441,355.249696969697,64.0461626739746
2000-01-01,4891.079,3298.693,5.12333333333333,5.58541820003311,430.122676923077,65.0083988451792
2000-04-01,5005.71,3358.429,5.49333333333333,5.39930297092858,430.985215384615,66.0132493174666
2000-07-01,5165.498,3427.173,5.83,5.41103985457796,430.591953846154,67.0288310656586
2000-10-01,5391.252,3493.128,5.88666666666667,5.24992075202225,404.049384615385,67.2727270358784
2001-01-01,5449.896,3530.193,5.6,4.96332677080552,372.526153846154,68.2043769720372
2001-04-01,5568.677,3586.732,5.51333333333333,5.17390718437205,361.135969230769,69.2078890312773
2001-07-01,5681.239,3628.969,5.25333333333333,5.08175413967266,313.481846153846,70.4109662031379
2001-10-01,5893.788,3672.757,4.69,4.77149917830583,298.613878787879,70.7544011624855
2002-01-01,6023.924,3708.238,4.79666666666667,5.11090651784243,307.5606875,72.3174569266065
2002-04-01,6091.765,3769.4,4.92,5.24489739804354,293.552430769231,73.8013941340765
2002-07-01,6137.561,3816.274,4.65,4.74259836896366,228.525984848485,75.1255554955582
2002-10-01,6227.649,3896.83,4.33,4.53168664482486,212.185,75.4323272782273
2003-01-01,6258.76,3929.799,4.05,4.11801272854717,193.496171875,76.5807358808535
2003-04-01,6355.747,3997.924,3.76333333333333,3.94135764269457,204.308446153846,77.996875498335
2003-07-01,6392.465,4062.209,3.52666666666667,4.14896643954167,221.662166666667,79.3149435743094
