"period","pubcons_rpc","pubinves_rpc","salaries_rpc","subs_rpc","dirtax_rpc","indirtax_rpc","tfs_rpc","sce_rpc","scr_rpc","debt_rpc"
1980-01-01,1612.06376551015,368.508163876265,893.506250533464,152.771314453516,636.350099162878,842.35846488445,1091.69212821331,588.626818493093,605.634118746939,11071.5722620066
1980-04-01,1629.57402508274,367.107289319535,898.942675234266,178.840267757637,757.202923557382,832.688523065928,1155.25275550905,596.494356884425,613.80342812325,11046.0048808604
1980-07-01,1636.83960519011,363.611863547054,904.056056207815,177.669419424041,757.18041348081,828.824958229887,1170.00420183494,602.735302114033,620.477350944681,11068.5973368076
1980-10-01,1642.60029191637,361.228206550044,909.577118584038,176.846315768977,758.555247516977,827.178046521651,1198.53167859512,611.840203881939,629.912347808151,10776.3065521186
1981-01-01,1653.60598163316,357.269701558939,914.781969599102,175.818700410511,634.780245325783,817.015098482235,1189.25153120801,590.098461439753,607.197738089814,11284.1167671813
1981-04-01,1635.53345603225,353.380730416898,907.447040210136,173.010523528986,753.248779545209,809.623155430845,1185.6118312153,590.827814229657,608.143351422751,11400.5823260923
1981-07-01,1633.46720994754,356.027399732885,902.942742026025,169.798893135141,753.03478065567,802.252057709012,1186.54792179807,593.055943101292,610.492275029238,11551.5777584421
1981-10-01,1632.63325908723,360.427299418886,901.86292912855,168.391597967949,750.439730583811,802.12163260364,1193.83211765033,597.462593334262,614.97454323693,11529.5171688755
1982-01-01,1630.53409997174,358.454178919543,901.920669837163,168.738248623869,745.79613870434,802.248360450147,1199.53517326395,598.676283080704,616.144642066438,11979.8505742703
1982-04-01,1615.83086838264,346.970131964158,894.921755730873,168.833878247407,749.198021375183,800.611905684284,1201.37830252222,598.788299209338,616.280209901852,12170.6817540257
1982-07-01,1604.87367816018,344.49451413792,888.867133052113,170.46361692471,749.620410378329,806.326804822188,1205.01655600337,600.416531824438,617.959471089467,12430.2830001821
1982-10-01,1598.37151670716,328.974151697746,883.295752512582,171.381737455718,753.395202870849,804.0509491383,1203.34773825394,596.836727075098,614.361545762947,12638.4846360101
1983-01-01,1586.85039420445,325.553407514808,875.280050859434,170.912231175324,747.896455742692,810.405963645457,1201.6703670366,597.800811444337,615.315275984418,12836.9982659626
1983-04-01,1586.47833518061,323.118840562692,872.18181502397,171.307787974886,756.876986108996,807.816193276399,1197.65293366945,595.899918021872,613.347191442325,13021.3541613002
1983-07-01,1583.25732279718,311.980574347853,871.47694667981,172.413868096133,760.482857672774,803.185898025021,1188.75199545394,592.033452313115,609.363179166079,13168.0991581616
1983-10-01,1572.9188573872,308.797459094775,866.216893118756,174.8717083701,761.738589072498,808.715131682621,1181.60845810899,592.048674671295,609.385451673532,13336.7259514768
1984-01-01,1570.29478083777,302.473292955835,862.521997307568,179.843490417006,772.579292438287,806.144147140701,1177.61614306633,589.932429694392,607.223454134871,13628.7636490352
1984-04-01,1574.00531708299,310.069028483481,864.381132924666,183.701941524491,780.944722848636,819.178638090568,1176.37154952169,591.693798476069,609.014131630193,13941.4513065169
