"period","world_demand","oil_prices","reer","exports","imports"
"1980Q1",54.0323959214923,33.5764457972372,104.623333333333,NA,NA
"1980Q2",52.6291683245275,37.0121751346289,101.356666666667,NA,NA
"1980Q3",52.5796646856618,35.450479981269,101.58,NA,NA
"1980Q4",51.9774753278238,34.0449543432452,96.6,NA,NA
"1981Q1",52.3515012592114,35.606649496605,91.87,NA,NA
"1981Q2",52.6389484660722,34.9819714352611,87.8466666666667,NA,NA
"1981Q3",54.5034562278963,33.7326153125732,86.3566666666667,NA,NA
"1981Q4",54.6173974041803,33.1079372512293,89.8033333333333,NA,NA
"1982Q1",54.4307132585233,29.3255115897916,88.92,NA,NA
"1982Q2",54.3088999021399,32.6238117536877,89.0766666666667,NA,NA
"1982Q3",53.9973920818991,32.4020510419106,88.0133333333333,NA,NA
"1982Q4",53.8232892226019,31.7180285647389,89.9633333333333,NA,NA
"1983Q1",53.821939170737,27.7856801685788,92.9833333333333,NA,NA
"1983Q2",53.8334139639204,28.6133785998595,90.4,NA,NA
"1983Q3",54.2016620915426,29.5722594240225,88,NA,NA
"1983Q4",55.0614860777752,27.9512198548349,87.2666666666667,NA,NA
"1984Q1",55.4087420565497,28.2966668227582,87.65,NA,NA
"1984Q2",55.7778096338987,28.4556473893702,87.95,NA,NA
"1984Q3",56.2962915051184,27.2712577850621,86.1233333333333,NA,NA
"1984Q4",56.3497228468195,25.7030035120581,84.5666666666667,NA,NA
"1985Q1",56.9918139627722,25.3463123390307,83.9133333333333,NA,NA
"1985Q2",56.9773659201636,26.1024851322875,85.2766666666667,NA,NA
"1985Q3",57.3085699472214,26.0406420042145,87.97,NA,NA
"1985Q4",57.9099348596815,27.3543399672208,91.1166666666667,NA,NA
"1986Q1",58.2397867334488,15.930852259424,95.8633333333333,NA,NA
"1986Q2",59.3460997090805,13.0432779208616,95.7033333333333,NA,NA
"1986Q3",59.036269615287,12.9870568953407,98.5733333333333,NA,NA
"1986Q4",59.1033388741652,14.4097611800515,102.01,NA,NA
"1987Q1",58.3177276759947,17.0808845703582,105.77,NA,NA
"1987Q2",59.1449386867249,18.1443989697963,103.72,NA,NA
"1987Q3",59.2993914465153,19.0966666666667,102.746666666667,NA,NA
"1987Q4",60.636606175409,17.8866666666667,104.76,NA,NA
"1988Q1",60.341811648826,15.7533333333333,104.24,NA,NA
"1988Q2",60.2479403972597,16.1266666666667,101.383333333333,NA,NA
"1988Q3",61.4259688283645,14.3166666666667,97.5233333333333,NA,NA
"1988Q4",62.1889701825914,13.5666666666667,98.5766666666667,NA,NA
"1989Q1",62.4711817125558,17.59,97.05,NA,NA
"1989Q2",63.1482743517545,18.8333333333333,95.9466666666667,NA,NA
"1989Q3",63.4503668110727,17.3633333333333,96.94,NA,NA
"1989Q4",63.7911243824936,19.1766666666667,100.806666666667,NA,NA
"1990Q1",63.9608378124441,19.7996411483333,105.313333333333,NA,NA
"1990Q2",65.0930119752332,16.0315789473667,105.693333333333,NA,NA
"1990Q3",63.7170515177895,26.4945574162667,105.86,NA,NA
"1990Q4",64.09487278177,32.5066051299667,106.96,NA,NA
"1991Q1",63.7995178588013,20.7602252791,106.1,NA,NA
"1991Q2",63.6842694667849,18.8377777778,98.9333333333333,NA,NA
"1991Q3",63.7775069837405,19.9018362193333,99.13,NA,NA
"1991Q4",63.7139362243193,20.6051912238333,101.746666666667,NA,NA
"1992Q1",63.9733765431121,17.9303787878667,102.743333333333,NA,NA
"1992Q2",64.4963759697528,19.9945773525,103.053333333333,NA,NA
"1992Q3",64.2871262869209,20.0793725296667,107.746666666667,NA,NA
"1992Q4",63.6796526084953,19.2031166932333,105.406666666667,NA,NA
"1993Q1",63.8531753839836,18.2031521739,103.553333333333,NA,NA
"1993Q2",63.9037525427948,18.2656503189667,101.7,NA,NA
"1993Q3",63.9798339399137,16.4850468975333,98.2866666666667,NA,NA
"1993Q4",64.5636895307128,15.1632066909667,98.2,NA,NA
"1994Q1",64.9835628301593,13.9649673913,96.9233333333333,NA,NA
"1994Q2",66.1785321170581,16.0469429824667,98.54,NA,NA
"1994Q3",66.1785167284309,16.7713780664,101.423333333333,NA,NA
"1994Q4",67.4487435174571,16.5262748917667,101.383333333333,NA,NA
"1995Q1",67.7556355304239,16.875226363,103.543333333333,NA,NA
"1995Q2",68.2895378260031,18.0829810005,104.186666666667,NA,NA
"1995Q3",68.2325291052788,16.2127020202333,105.186666666667,NA,NA
"1995Q4",68.7416846400273,16.954669059,106.396666666667,NA,NA
"1996Q1",69.32162071373,18.5710137085,105.806666666667,NA,NA
"1996Q2",69.5964039349045,19.4935198412667,103.676666666667,NA,NA
"1996Q3",69.7553106991435,20.8882056590333,104.616666666667,NA,NA
"1996Q4",70.6685544520794,23.5619786059333,103.053333333333,NA,NA
"1997Q1",71.4883443616925,21.2056598883333,99.5833333333333,NA,NA
"1997Q2",72.4049585920122,18.0989718614667,96.76,NA,NA
"1997Q3",72.5863450296912,18.5230662055333,93.2433333333333,NA,NA
"1997Q4",73.0575755134004,18.7561011042,96.5866666666667,NA,NA
"1998Q1",73.8488001006757,14.1388748196,96.25,NA,NA
"1998Q2",73.5054558641256,13.3956259968333,97.5166666666667,NA,NA
"1998Q3",73.3744998411131,12.4732961133,99.82,NA,NA
"1998Q4",74.006646950073,11.2029040404,100.71,NA,NA
"1999Q1",73.6343207728653,11.3019746376667,96.94,NA,NA
"1999Q2",74.1876057821128,15.4885745614,92.7666666666667,NA,NA
"1999Q3",75.0159986770901,20.5991197691,91.4166666666667,NA,NA
