"period","defgdp","shortrate","employ","gdp_rcp","conso_rpc","inves_rpc","wage_rph","hours_pc","pinves_defl","pconso_defl"
"1980Q4",34.7104037841279,0.126631560840749,0.641030613525477,6920.26736188563,3984.69591723344,1549.26967195409,0.130056756477217,2967.08446790475,1.15112869004968,1.00549627956614
"1981Q1",35.5076214356969,0.134327301679493,0.639107437695402,6909.49782151627,3971.83314931271,1530.075826971,0.130183658985654,2952.02801910976,1.15847885586776,1.00892615804704
"1981Q2",36.5778512391509,0.155076999514754,0.636141878007927,6912.75466654517,3957.24266020526,1524.16028132337,0.131345503433054,2936.78676980807,1.15958581484553,1.00987428040075
"1981Q3",37.6270730007229,0.161332327689404,0.633526929893892,6914.43694449669,3960.53798358272,1509.64501226102,0.132185424472151,2921.42616439381,1.15455539226747,1.01019513429972
"1981Q4",38.6686579500757,0.154261347526855,0.631071483716579,6913.37072660259,3970.77262916653,1471.98070393293,0.132840085648668,2903.68268626062,1.15032928597097,1.01422981812579
"1982Q1",39.5900129189633,0.143311571369592,0.629072511644964,6924.76147466345,3977.55540737281,1469.11066755167,0.133068637979088,2885.99506043798,1.15013820626101,1.00976921653719
"1982Q2",40.6957770166139,0.143998784079679,0.626674640424878,6917.09135797006,3956.01038712691,1464.29883585356,0.132920363045669,2868.46048435382,1.14415789782899,1.00872110621296
"1982Q3",41.5771070733974,0.133493863482693,0.623478799186247,6863.55951765228,3924.80809684619,1446.53468188038,0.133201155008021,2851.17434715796,1.1412220385396,1.01157102490178
"1982Q4",42.4702244540636,0.126064745549399,0.621057286250194,6850.14987201929,3942.37484079721,1432.2236470012,0.133431479483722,2837.92502501974,1.13640800321537,1.0135546612207
"1983Q1",43.3721354389843,0.118863273092251,0.618227139609783,6879.62043946372,3955.55535322768,1440.44808540728,0.133024369427238,2825.0355992155,1.12873233819163,1.00983359943269
"1983Q2",44.1847372629835,0.118474109592296,0.616218226039947,6908.74714588134,3946.35983808938,1438.15234345922,0.133858132115438,2812.54026687389,1.1286449170259,1.01183034286039
"1983Q3",45.1702034512358,0.122185118334083,0.614223669655331,6911.14694152096,3930.50773188433,1439.08256947237,0.134740308861078,2800.47146109965,1.12852986236101,1.01261442865627
"1983Q4",46.0678562229001,0.121690058781433,0.612752372529656,6971.41775475153,3955.16553036902,1424.0444693202,0.134747818550794,2787.53502579052,1.12669687509225,1.01615074538571
