"period","defgdp","gdp_rpc","conso_rpc","inves_rpc","wage_rph","hours_pc","pinves_defl","loans_nfc_rpc","loans_hh_rpc","houseprice_defl","networth_rpc","re","slope","creditspread"
"1981Q3",37.6270730007229,6914.43694449671,3960.53798358273,1509.64501226102,0.132185424472151,292.142616439381,1.15455539226747,186.763655450737,103.583419140873,0.715905399847163,NA,0.161332327689404,-0.00985257614164873,0.0160070427926162
"1981Q4",38.6686579500757,6913.37072660259,3970.77262916652,1471.98070393293,0.132840085648667,290.368268626061,1.15032928597098,189.09565390013,103.77536179043,0.702768775017211,NA,0.154261347526855,-0.00398241933009734,0.0140055766421026
"1982Q1",39.5900129189633,6924.76147466347,3977.55540737281,1469.11066755167,0.133068637979087,288.599506043798,1.15013820626101,186.399831548076,102.062907305772,0.684293799772497,NA,0.143311571369592,0.00378834391079112,0.0187775625969657
"1982Q2",40.6957770166139,6917.09135797007,3956.0103871269,1464.29883585355,0.132920363045669,286.846048435382,1.144157897829,185.516503087944,101.645826085408,0.667865256747911,NA,0.143998784079679,0.000429948459446976,0.0193158315358691
"1982Q3",41.5771070733974,6863.55951765228,3924.8080968462,1446.53468188039,0.133201155008021,285.117434715796,1.1412220385396,184.961654313029,101.753303077158,0.65996691791352,NA,0.133493863482693,0.00846815163842546,0.0217511915317189
"1982Q4",42.4702244540636,6850.1498720193,3942.37484079721,1432.2236470012,0.133431479483722,283.792502501974,1.13640800321537,188.520700734436,103.227381837138,0.656263327025189,NA,0.126064745549399,0.0100101607097444,0.0189264364586493
"1983Q1",43.3721354389843,6879.62043946373,3955.55535322769,1440.44808540728,0.133024369427238,282.50355992155,1.12873233819163,185.491495626961,101.815963181984,0.656548508693258,NA,0.118863273092251,0.0104481590654123,0.0198277912547118
"1983Q2",44.1847372629835,6908.74714588132,3946.35983808938,1438.15234345922,0.133858132115438,281.254026687389,1.1286449170259,185.742790559118,102.439930093935,0.654990290277151,NA,0.118474109592296,0.0102552679955325,0.0198075987505276
"1983Q3",45.1702034512358,6911.14694152096,3930.50773188433,1439.08256947236,0.134740308861078,280.047146109965,1.12852986236101,183.860253315667,102.437792902411,0.647899321931821,NA,0.122185118334083,0.00845946752977108,0.0191661032805909
"1983Q4",46.0678562229001,6971.4177547515,3955.16553036901,1424.0444693202,0.134747818550794,278.753502579051,1.12669687509226,187.852706855574,103.758166368035,0.639302974068761,NA,0.121690058781433,0.0085175384207605,0.0194666478743731
"1984Q1",46.8800780910663,7016.29690202416,3981.9939479087,1430.47860689333,0.135562548442902,277.511009880614,1.11788929168971,185.810191879467,102.628821895751,0.629207437378492,NA,0.114315611420011,0.0111264015545968,0.0227286530562122
"1984Q2",47.5711455144534,6968.63501364822,3960.59887194902,1393.83868174659,0.134255836593392,276.324307462166,1.11729767528714,187.639910240257,103.430856485346,0.62173031090782,NA,0.108578106330637,0.0158513306854736,0.0234035128218708
"1984Q3",48.3352471572302,7026.27633962509,3960.25569571489,1409.80775325096,0.135219584982952,275.197826729693,1.1165012724616,188.16044970525,103.589250433418,0.614226912378027,NA,0.10413454807136,0.0173422305833118,0.0226510173870016
"1984Q4",48.8166348886522,7048.4133352561,3959.24188743293,1418.89506234204,0.136489935964128,274.24676803331,1.12235361866754,191.88274554305,105.563606241664,0.611149149197163,NA,0.101279961406508,0.0123281359395512,0.023420377879746
"1985Q1",49.6319808723036,7050.85761769805,3986.29920567816,1399.94144164788,0.137165794336285,273.362097553231,1.117038188553,187.455437588543,105.544113022152,0.604709641810485,NA,0.0986331709622246,0.0102898348309491,0.023004206723759
"1985Q2",50.2937779261251,7105.07111955578,4005.5731182027,1419.90056763509,0.137655240122305,272.546027756042,1.11635658983344,187.190739945745,106.248368650922,0.600711758643977,NA,0.0996147674938847,0.00828014088559623,0.0192583149329612
