"period","gdp","defgdp","conso","defconso","inves","definves","wage","shortrate","employ","hours","pop"
1973-01-01,1111602.62701163,15.5865759564886,624243.679671199,15.3619797674343,294180.021216121,16.343803744237,90092.9821548942,6.79128599188762,123315.797625677,60470253.157106,184383.453727241
1973-04-01,1125080.75346746,15.9631436513281,630613.146204436,15.783825554171,294468.670350945,16.8786479435393,93477.8091351834,8.48533743323535,123917.556519482,60520872.1973349,184647.344460651
1973-07-01,1140530.91771347,16.4014035108306,633867.687770705,16.2080936435929,296077.039171821,17.4533674036902,97551.3343061669,10.2110845842182,124393.554779571,60567759.787681,184916.826985366
1973-10-01,1152992.4724815,16.754115072099,640164.947236801,16.7238192446841,296979.32682387,18.0155135108333,101761.878560748,11.0824376553369,124669.562268828,60482228.5374757,185192.264919581
1974-01-01,1164408.06918695,17.3220401870246,640829.214653348,17.3435876487062,295962.080600613,18.8529645021438,106123.616665578,11.2268194238964,124749.448835174,60391147.7166239,185474.0002344
1974-04-01,1166515.03095246,17.929085982254,646888.492792389,18.0023953768567,288096.799615956,19.7067097952274,111665.513425807,11.4653569448917,124629.177621054,60294570.7420915,185762.35680755
1974-07-01,1174461.81274193,18.5671982249665,651086.644963638,18.5684287977028,288366.818635046,20.6181407304754,115989.924358844,11.5240213956069,124504.646781256,60192551.0308443,186057.643866649
1974-10-01,1155747.69851891,19.1929369394131,644822.414791977,19.2285466829523,279882.98762256,21.3170679287775,121035.225224536,10.6596596274416,124173.626260393,59859039.3768311,186360.158880728
1975-01-01,1144960.84922307,19.6906377695023,649057.906766082,19.6823822024428,275912.84935901,21.7784881589372,124448.243745355,8.8138355250989,123704.758228567,59523623.8618168,186670.189706851
1975-04-01,1150872.54401207,20.1832197736798,658202.176376636,20.1405870233686,272109.617504876,22.1634403375348,128684.509980733,7.05523295759312,122902.556324434,59189789.9445488,186988.015805975
1975-07-01,1161153.12632175,20.5933251290468,666214.208580169,20.5910944233467,273143.132700168,22.5251839440947,132950.950015356,6.38221115705834,122705.401979591,58861023.0837747,187313.908348224
1975-10-01,1173422.87275485,21.0223133430828,675257.198144205,21.0432020920888,277563.521157295,22.9809844937868,137127.309185722,6.59879032032398,122661.382655562,58933242.2404405,187648.129033002
1976-01-01,1192581.6956506,21.4566007062685,684070.127539515,21.5582345384283,277578.696158216,23.5606322389638,141401.545203736,7.00069458722668,122753.615047786,59011542.57078,187990.927658207
1976-04-01,1207918.53568484,22.3462194776258,688935.202349797,22.2877407701384,278435.881913265,24.5667188108385,148321.695395876,8.56771783380818,123049.859284137,59093452.7332259,188342.538478759
1976-07-01,1218086.93094405,22.9694512067133,694275.657838647,22.8788284846654,277746.482548003,25.3370576195777,155036.1173866,9.34838426426787,123341.711758972,59176501.3862102,188703.175402064
1976-10-01,1237651.3323075,23.5599768084986,702050.842053283,23.4946271966131,284448.830227061,26.0801687452038,160636.277129638,9.20557381094242,123304.04130767,59062398.5299741,189073.02607777
1977-01-01,1242753.37152394,24.11805584382,703657.904113987,24.0927163540506,287856.114997515,26.6629769634901,165210.298218279,10.2143163466785,123420.751028884,58947463.8385936,189452.245057956
1977-04-01,1244427.82412531,24.8629301366907,712817.582849334,24.752433561669,283833.783535114,27.3555227303169,172100.600092268,9.37170763456411,123436.796518695,58832198.3279536,189840.946220294
1977-07-01,1245405.74401423,25.4011456903416,718503.175495095,25.3601512673611,285332.016269229,27.9883059049681,176338.009344621,8.998382483534,123103.190051441,58717103.0139388,190239.19466743
